商品ID,商品名稱,作者名稱,分類,淨銷量,總營收,訂單數,首次銷售日,最後銷售日,銷售月數,月均銷量
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,791.0,142045.0,43,2013-07-24,2022-02-01,104,7.6
EB0000121,《沒人在乎你的職涯：為何你該勇於失敗、不畏艱難……與其他職場殘酷真相》電子版｜艾瑞卡．貝登,艾瑞卡．貝登,電子書,767.0,149036.0,64,2024-12-01,2026-02-01,15,51.1
B0000126,《好起來的從來不是生活，而是你自己》｜夏天,夏天,紙本書,759.0,177672.0,45,2025-04-22,2026-03-17,12,63.2
EB0000107,《FIRE，然後呢？──金錢、人際關係、健康……真實退休生活，老黑要告訴你的7件事！》電子版｜老黑,老黑,電子書,741.0,124613.0,89,2024-05-01,2026-02-01,22,33.7
EB0000093,《早點知道就好了：頂尖律師教你51個超實用金錢法律常識》電子版 ｜建業法律事務所,建業法律事務所,電子書,736.0,105488.0,114,2023-10-01,2026-02-01,29,25.4
B0000106,《解碼商業模式：如何從一個想法到一個商業模式》｜曾小軍,曾小軍,紙本書,725.0,212054.0,94,2024-04-23,2026-03-29,24,30.2
EB0000127,《飆股新手的實戰筆記：簡單4步驟，小資也能季賺30%》電子版｜陳威良,陳威良,電子書,711.0,123483.0,51,2025-05-01,2026-02-01,10,71.1
B0000053,丹尼爾-抓出高勝率波段飆股,丹尼爾,紙本書,706.0,133559.0,272,2021-01-01,2024-06-27,42,16.8
EB0000066,存飆股 1次賺進10年股息,郭勝,電子書,691.0,80176.0,128,2022-07-01,2026-02-01,44,15.7
EB0000038S,做對5個實戰步驟 你就是賺錢高手,朱家泓,電子書,691.0,76343.0,140,2022-01-01,2026-02-01,50,13.8
B0000069,「教官，財報有問題！」：看穿市場鬼故事，買到銅板好股 精裝版+帆布袋,楊禮軒,紙本書,683.0,237721.0,282,2022-10-13,2026-03-29,42,16.3
B0000128,《你不必有個夢想：人生的9堂課提醒你──慢一點，沒目標也能活得好》｜提姆．明欽,提姆．明欽,紙本書,628.0,147675.0,49,2025-06-17,2026-03-27,10,62.8
B0000114,"《境界 : 站在巨人肩膀上,吳軍博士帶你領略先哲思想,開拓人生新視界》｜吳軍",吳軍,紙本書,626.0,147289.0,63,2024-09-24,2026-03-25,19,32.9
EB0000099,《極簡投資：股市小白也能1天搞懂的技術分析》電子版｜林恩如,林恩如,電子書,612.0,117425.0,108,2023-12-01,2026-02-01,27,22.7
B0040,〔預購〕6年存到300張股票 2022修訂版加贈電子雜誌,陳重銘,紙本書,574.0,144648.0,574,2022-01-05,2022-01-19,1,574.0
B0000051U,不敗教存股心法影音-USB,陳重銘,紙本書,574.0,584729.0,574,2018-09-20,2019-03-10,7,82.0
EB0000059,冠軍操盤手的高勝率秘技,楊雲翔,電子書,564.0,76541.0,128,2022-02-01,2025-09-01,44,12.8
EB0000060,存股致勝心理學,孫悟天,電子書,560.0,72196.0,179,2022-01-01,2025-12-01,48,11.7
B0000079,朱家泓套書-抓住K線.抓住飆股2020.抓住線圖.賺錢高手,朱家泓,紙本書,509.0,29970.0,321,2023-05-29,2025-09-11,29,17.6
B0000047,看財報不抓狂,薛兆亨、TIVO,紙本書,486.0,118218.0,85,2018-04-03,2023-07-28,64,7.6
EB0000070,《慢步股市：給存股族的12個致富心法》電子版｜流浪教師 華倫,華倫,電子書,483.0,79671.0,124,2022-12-01,2026-02-01,39,12.4
EB0000135,《Ryan爸爸的高效存股法: ETF X3大類股 打造月領10萬股息方程式》電子版｜Ryan爸爸,Ryan爸爸,電子書,475.0,78218.0,23,2025-10-01,2026-02-01,5,95.0
EB0000050,12招獨門秘技 找出飆股基因,孫慶龍,電子書,471.0,55168.0,105,2022-01-01,2024-07-01,31,15.2
EB0000081,"《29歲開始做 43歲提早退休: 用窮酸皮夾不追求表面富有,拿到退休入場券!》電子版｜粉圓妹",粉圓妹,電子書,469.0,91834.0,125,2023-07-01,2026-02-01,32,14.7
EB0000072,《人生流當品：重新改造，你可以是超值典藏品》電子版,秦嗣林,電子書,469.0,67608.0,122,2023-01-01,2026-01-01,37,12.7
B0000045S,一眼看穿房仲賣屋手法：讓房仲為你賣命,陳泰源,紙本書,437.0,74606.0,66,2021-01-01,2022-10-21,22,19.9
EB0000071,《變身少年巴菲特 培養財富創造力：學校沒教的22堂理財課》電子版｜不敗教主 陳重銘,陳重銘,電子書,432.0,94904.0,135,2022-12-01,2026-02-01,39,11.1
EB0000077,《鬼道致富》電子版｜鬼手易生,鬼手易生,電子書,429.0,69717.0,103,2023-05-01,2025-12-01,32,13.4
EB0000130,《存股族的槓桿翻倍術：自組ETF × 低風險策略，普通上班族也能年賺20%》電子版｜吳宜勲（老吳）,吳宜勲（老吳）,電子書,420.0,64221.0,33,2025-07-01,2026-02-01,8,52.5
B0000033S,不看盤投資術,股魚,紙本書,414.0,67389.0,99,2014-08-01,2022-10-17,99,4.2
EB0000046,不上班也有錢,曾琬鈴,電子書,412.0,31605.0,99,2022-04-01,2025-03-01,36,11.4
B0000057,存好股的智慧與勇氣,温國信,紙本書,408.0,89739.0,196,2019-12-19,2026-02-10,75,5.4
B0000093,《早點知道就好了：頂尖律師教你51個超實用金錢法律常識》 ｜建業法律事務所,建業法律事務所 資深法律顧問團隊 余佳璋、金玉瑩、張少騰、李育錚、林心瀠、馬傲秋、黃品瑜、楊薪頻、蔡宜靜,紙本書,407.0,83740.0,402,2023-11-05,2025-04-30,18,22.6
EB0000054,我用1檔ETF存自己的18％,陳重銘,電子書,399.0,56666.0,147,2022-02-01,2026-02-01,49,8.1
EB0000076,《投資別再情緒化! 讓數據說話 用科學方法讓本金百倍奉還》電子版｜小路Lewis,小路Lewis,電子書,395.0,66838.0,112,2023-04-01,2026-01-01,34,11.6
EB0000119,《做自己的心理治療師：超過25 種療癒技術，擺脫情緒內耗，提升自我認同》電子版｜塔米．米勒,塔米．米勒,電子書,382.0,76307.0,66,2024-10-01,2026-02-01,17,22.5
B0000041,就是這張表 抓住神買點,董鍾祥,紙本書,374.0,60752.0,130,2016-03-22,2026-02-24,120,3.1
EB0000134,《工程師勳仔40歲前退休計畫──指數節稅多元收益投資法 低風險避開0050正2盲點》電子版｜勳仔,勳仔,電子書,359.0,57179.0,26,2025-09-01,2026-02-01,6,59.8
